[2024-08-26 20:06:20.524]	 Already installed "tmux-sensible"
[2024-08-26 20:06:20.525]	 Already installed "tmux-powerline"
[2024-08-26 20:06:20.538]	 Invoking /home/chime/.tmux/plugins//tpm/bin/update_plugins all
[2024-08-26 20:06:20.552]	 Updating all plugins!
[2024-08-26 20:06:20.552]	 
[2024-08-26 20:06:20.728]	   "tpm" update success
[2024-08-26 20:06:20.730]	     | Already up to date.
[2024-08-26 20:06:20.742]	   "tmux-powerline" update success
[2024-08-26 20:06:20.744]	     | Already up to date.
[2024-08-26 20:06:20.790]	   "tmux-sensible" update success
[2024-08-26 20:06:20.792]	     | Already up to date.
[2024-08-26 20:06:20.806]	 Invoking /home/chime/.tmux/plugins//tpm/bin/clean_plugins all
[2024-08-26 20:06:20.844]	 Done.

[2024-08-26 20:06:27.373]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible erikw/tmux-powerline
[2024-08-26 20:06:27.389]	 Invoking /home/chime/.tmux/plugins//tpm/bin/install_plugins
[2024-08-26 20:06:27.419]	 Already installed "tpm"
[2024-08-26 20:06:27.419]	 Already installed "tmux-sensible"
[2024-08-26 20:06:27.420]	 Already installed "tmux-powerline"
[2024-08-26 20:06:27.434]	 Invoking /home/chime/.tmux/plugins//tpm/bin/update_plugins all
[2024-08-26 20:06:27.450]	 Updating all plugins!
[2024-08-26 20:06:27.450]	 
[2024-08-26 20:06:27.632]	   "tmux-sensible" update success
[2024-08-26 20:06:27.634]	     | Already up to date.
[2024-08-26 20:06:27.635]	   "tpm" update success
[2024-08-26 20:06:27.637]	     | Already up to date.
[2024-08-26 20:06:27.638]	   "tmux-powerline" update success
[2024-08-26 20:06:27.640]	     | Already up to date.
[2024-08-26 20:06:27.655]	 Invoking /home/chime/.tmux/plugins//tpm/bin/clean_plugins all
[2024-08-26 20:06:27.697]	 Done.

[2024-08-26 20:06:51.874]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible erikw/tmux-powerline
[2024-08-26 20:06:51.888]	 Invoking /home/chime/.tmux/plugins//tpm/bin/install_plugins
[2024-08-26 20:06:51.916]	 Already installed "tpm"
[2024-08-26 20:06:51.917]	 Already installed "tmux-sensible"
[2024-08-26 20:06:51.917]	 Already installed "tmux-powerline"
[2024-08-26 20:06:51.932]	 Invoking /home/chime/.tmux/plugins//tpm/bin/update_plugins all
[2024-08-26 20:06:51.946]	 Updating all plugins!
[2024-08-26 20:06:51.946]	 
[2024-08-26 20:06:52.106]	   "tpm" update success
[2024-08-26 20:06:52.108]	     | Already up to date.
[2024-08-26 20:06:52.123]	   "tmux-powerline" update success
[2024-08-26 20:06:52.125]	     | Already up to date.
[2024-08-26 20:06:52.129]	   "tmux-sensible" update success
[2024-08-26 20:06:52.130]	     | Already up to date.
[2024-08-26 20:06:52.145]	 Invoking /home/chime/.tmux/plugins//tpm/bin/clean_plugins all
[2024-08-26 20:06:52.187]	 Done.

[2024-08-26 20:11:24.968]	 List of discovered tpm plugins: tmux-plugins/tmux-sensible erikw/tmux-powerline
[2024-08-26 20:11:24.983]	 Invoking /home/chime/.tmux/plugins/tpm/bin/install_plugins
[2024-08-26 20:11:25.011]	 Already installed "tmux-sensible"
[2024-08-26 20:11:25.011]	 Already installed "tmux-powerline"
[2024-08-26 20:11:25.027]	 Invoking /home/chime/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-26 20:11:25.042]	 Updating all plugins!
[2024-08-26 20:11:25.042]	 
[2024-08-26 20:11:25.210]	   "tmux-sensible" update success
[2024-08-26 20:11:25.212]	   "tmux-powerline" update success
[2024-08-26 20:11:25.212]	     | Already up to date.
[2024-08-26 20:11:25.213]	     | Already up to date.
[2024-08-26 20:11:25.228]	 Invoking /home/chime/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-26 20:11:25.267]	 Done.

[2024-08-26 20:12:21.668]	 List of discovered tpm plugins: tmux-plugins/tmux-sensible erikw/tmux-powerline
[2024-08-26 20:12:21.682]	 Invoking /home/chime/.tmux/plugins/tpm/bin/install_plugins
[2024-08-26 20:12:21.709]	 Already installed "tmux-sensible"
[2024-08-26 20:12:21.709]	 Already installed "tmux-powerline"
[2024-08-26 20:12:21.726]	 Invoking /home/chime/.tmux/plugins/tpm/bin/update_plugins all
[2024-08-26 20:12:21.740]	 Updating all plugins!
[2024-08-26 20:12:21.740]	 
[2024-08-26 20:12:21.910]	   "tmux-sensible" update success
[2024-08-26 20:12:21.911]	     | Already up to date.
[2024-08-26 20:12:21.913]	   "tmux-powerline" update success
[2024-08-26 20:12:21.914]	     | Already up to date.
[2024-08-26 20:12:21.929]	 Invoking /home/chime/.tmux/plugins/tpm/bin/clean_plugins all
[2024-08-26 20:12:21.969]	 Done.

